pacrat;pacreu;lbrat;lbreu;interception;controlerate;passedecisive;aeriengagne;aerienperdue;tir_en_dehord_de_surface;tir_six_metre;tir_surface_reparation;potentiel
0.6;8.7;0.2;0;0.4;0.1;0;0.2;0.1;0;0;0.1;6.07
1;13;0;0;0;0;0;0;0;0;0;0;5.11
0.8;10.3;0;0;0;0.3;0;0;0;0;0;0;6.07
0.6;9.8;0.3;0.3;0.4;0.1;0.1;0.1;0.3;0;0;0.1;6.22
1;13;0;1;0;0;0;0;0;0;0;1;6
1.8;8.3;0;0.3;0.2;0.1;0.1;0.2;0.1;0;0;0;6.23
0.7;9.6;0.2;0.1;0;0;0;0;0;0;0;0;6.11
1;10.3;0.5;0;0.4;0.2;0.1;0.3;0.2;0.1;0;0.1;6.39
2.7;6;0.3;0.7;0;0;0;0.7;0;0;0;0;6.15
1;6.5;0.4;0.3;0.3;0.3;0;0.3;0.3;0;0;0;6.14
0.8;7;0.3;0;0;0.3;0;0.3;0.3;0;0;0;5.99
0.7;5;0;0;0;0;0;0;0;0;0;0;6.15
1.1;6.7;0.2;0;0.3;0.3;0.1;0.3;0.4;0;0;0.1;6.24
1.8;3.8;0;0;0.3;0.3;0;0;0.8;0.3;0;0;6.19
0.3;4.3;0;0;0;0;0;0;0;0.1;0;0;6.14
1.1;5;0.1;0.1;0.1;0.2;0;0.8;0.5;0;0;0;6.13
1.3;6;0.3;0;0;0;0;0.3;0.3;0;0;0;6.12
0.1;5.7;0.3;0;0;0.7;0;0;0;0;0;0;6
1;4.8;0.6;0.1;0.3;0.1;0;0.2;0.4;0;0;0.3;6.19
0.8;8;1.8;0;0.5;0.3;0;0.8;0.5;0;0;0;6.02
0.7;4.3;0;0;0;0;0;0;0;0;0;0;6.13
0.5;4.1;0.1;0.1;0.3;0;0;0.3;0.1;0;0;0;6.12
0.5;4.3;0.3;0.3;0.3;0;0;0.5;0.5;0;0;0;6.14
0.7;4;0.3;0.3;0;0;0;0;0;0;0;0;6.29
0.7;4.9;0.1;0.2;0.5;0.1;0;0.2;0.2;0;0;0.1;6.32
1.7;4;0.7;0;0;0;0;0;0;0.3;0;0;6.18
2;2;0;0;1;0;0;0;0;0;0;0;6.13
1.3;4.8;0.5;0.4;0.2;0.3;0;0.3;0.2;0;0;0.1;6.12
1.3;3.7;0.7;0.3;0.3;0;0;0.7;0.3;0;0;0;6.22
1;5;0;0;0;2;0;0;0;0;0;0;6.28
0.8;4.3;0.6;0.1;0.1;0.1;0;0;0.3;0;0;0;6.13
1;4.3;0.7;0.7;0.7;0.3;0;0.3;0.3;0;0;0;6.35
1;9;0;0;0;0;0;0;0;0;0;0;6.11
0.7;5.2;0.2;0.4;0.2;0.1;0;0.2;0.1;0.2;0;0;6.11
1.3;1;1;0;0;1;0;0;0;0;0;0;6.1
0;3;1;0;2;0;0;0;0;0;0;1;6.49
1;4.5;0.5;0.2;0.1;0.1;0;0.1;0.1;0.1;0;0;6.17
0.7;4.7;0.3;0;0;0;0;0.3;0;0;0;0;6.16
3;7;0;0;0;1;0;0;0;0;0;0;6.14
0.4;3.5;0.2;0;0.2;0.3;0;0.1;0.1;0.1;0;0;6.04
0.7;3;0.3;0;0.3;0;0;0.3;0;0;0;0;6.15
1;0;0;0;0;0;0;0;0;0;0;0;6.23
0.7;4.8;0.5;0.2;0.3;0.2;0;0.4;0.2;0.1;0;0.1;6.31
1;8.9;0.5;0.3;0.1;0.2;0;0.1;0;0;0;0;6.11
0;9.3;0.5;0.8;0.3;0.8;0;0;0.5;0;0;0;6.11
0.8;9.6;0.5;0.4;0.4;0.2;0.1;0.1;0.1;0;0;0.1;6.22
0.8;8.5;0.8;0.8;0;0;0;0;0.3;0;0;0;6.03
0.8;7.1;0.8;0.4;0.2;0.3;0;0.2;0.3;0.1;0;0;6.16
0.3;4.8;1;0.3;0;0;0;0.8;0.3;0;0;0;6.14
0.9;5.8;0.7;0.4;0.2;0.2;0;0.1;0.1;0.1;0;0.1;6.14
1.3;4.8;0.3;0;0.3;0;0;0.5;0.3;0;0;0;5.99
1.1;5.6;0.4;0.2;0.2;0.1;0;0.2;0.2;0.1;0;0.1;6.15
0.3;8.3;0;0.5;0;0.3;0;0;0.3;0;0;0;6.17
1.1;6.6;0.6;0.2;0.4;0.1;0;0.1;0.3;0;0;0.1;6.23
0.8;7.5;1.3;0;0;0;0;0;0;0;0;0;6.25
1.4;7.9;0.5;0.5;0.3;0.1;0;0.2;0.3;0;0;0.1;6.1
1.8;4.8;0;0.3;0;0.5;0;0.2;0;0;0;0.3;5.94
1.3;6.2;0.6;0.5;0.2;0.2;0;0.3;0.4;0;0;0.1;6.1
0.8;5.3;0.3;1;0.5;0.3;0;0;0;0;0;0;6.06
1.2;6.5;0.6;0.4;0.1;0.1;0.2;0.3;0.4;0;0;0.1;6.26
1.8;7.3;0.3;0;0.3;0.5;0;0;0.3;0;0;0;6.19
1.2;6.4;0.3;0.4;0.2;0.2;0;0.2;0.2;0;0.1;0.1;6.11
2;9;0.5;0.5;0.3;0;0;0.3;0;0;0;0;6.21
0.9;6.8;0.3;0.5;0.2;0.2;0;0.1;0.2;0;0.1;0;6.09
0.5;6;0.3;0.5;0;0;0;0.3;0.3;0;0;0;6.07
0.8;7.5;0.3;0.7;0.2;0.2;0;0.2;0.4;0;0;0.1;6.3
1.3;5.8;1;1;0.5;0.3;0;0.8;0.5;0.3;0;0;6.14
0;4;0;0;0.7;0;0;0;0;0;0;0;6.2
0.4;9.9;0.3;0.4;0.1;0.3;0;0.1;0.4;0;0;0;6.19
0.7;6;0.3;0;0.7;0;0;0.3;0;0;0;0;6.18
